Năm,Năng suất cả năm,Sản lượng cả năm,Năng suất vụ đông xuân,Sản lượng vụ đông xuân,Năng suất vụ mùa,Sản lượng vụ mùa,Unit_Năng_suất,Unit_Sản_lượng
2002,63,1081.6,67.4,574.1,58.6,507.5,Tạ/ha,Nghìn tấn
2003,54.6,930.7,69.2,585.8,40.2,344.9,Tạ/ha,Nghìn tấn
2004,63.4,1069.5,70.2,585.4,56.8,484.1,Tạ/ha,Nghìn tấn
2005,58.6,981.6,71.1,590.1,46.4,391.5,Tạ/ha,Nghìn tấn
2006,65,1079.6,71.1,584.1,59.1,495.5,Tạ/ha,Nghìn tấn
2007,61.5,1014.8,61,498.6,62,516.2,Tạ/ha,Nghìn tấn
2008,65.7,1105.2,70,589.4,62,515.8,Tạ/ha,Nghìn tấn
2009,66.2,1105.8,70.3,585.3,62,520.5,Tạ/ha,Nghìn tấn
2010,66.4,1104.4,70.6,583.7,62.2,520.7,Tạ/ha,Nghìn tấn
2011,65.9,1091.3,72.6,598.5,59.2,492.8,Tạ/ha,Nghìn tấn
2012,65.1,1059.5,71.7,581.2,58.5,478.3,Tạ/ha,Nghìn tấn
2013,65.1,1053.2,71.5,575.7,58.7,477.5,Tạ/ha,Nghìn tấn
2014,65.6,1061.9,71.7,577.5,59.6,484.4,Tạ/ha,Nghìn tấn
2015,66,1061.9,71.6,573.4,60.4,488.5,Tạ/ha,Nghìn tấn
2016,65.8,1053.6,71.5,570,60.1,483.6,Tạ/ha,Nghìn tấn
2017,59.4,942.6,71.7,566.8,47.2,375.8,Tạ/ha,Nghìn tấn
2018,65.5,1030.4,71.7,561.3,59.2,467.1,Tạ/ha,Nghìn tấn
2019,65.9,1022.3,71.3,553.2,60.5,469.1,Tạ/ha,Nghìn tấn
2020,65.9,1013.1,70.7,539.1,61.2,474,Tạ/ha,Nghìn tấn
2021,65.1,997.6,71,543.5,59.2,454.1,Tạ/ha,Nghìn tấn
2022,65.5,992.7,71.1,537.9,59.8,454.8,Tạ/ha,Nghìn tấn
